Year,Asian,Black,Latino,White,Other,Male,Female,NotReported,Total
2014,11060,1469,3270,19520,2008,29869,7458,0,37327
2013,8475,1090,2408,16059,1522,24070,5485,0,29555
2012,6869,1014,1919,13320,1660,20147,4635,0,24782
2011,5914,893,1752,11252,1328,17139,4000,0,21139
2010,5131,825,1466,10556,1412,15664,3726,0,19390
