Year,Asian,Black,Latino,White,Other,Male,Female,NonResident,Total
2014,123,17,13,441,1057,1357,290,4,1651
2013,136,22,20,406,1069,1292,269,92,1653
2012,168,27,22,496,893,1275,276,55,1606
2011,171,16,22,465,782,1154,261,41,1456
2010,169,17,22,503,770,1169,271,41,1481
