Year,Asian,Black,Latino,White,Other,Male,Female,NonResident,Total
2014,500,86,123,1507,5272,5813,1641,34,7488
2013,533,64,76,1486,4526,5255,1418,12,6685
2012,484,123,123,1725,5008,5645,1645,173,7463
2011,753,96,119,1533,4110,4968,1623,20,6611
2010,646,78,110,1620,4397,5381,1434,36,6851
