Year,Asian,Black,Latino,White,Other,Male,Female,NotReported,Total
2014,2079,315,672,5687,3475,10345,1701,182,12228
2013,1545,322,499,5131,3279,9116,1511,149,10776
2012,1477,407,575,5793,2797,9349,1387,313,11049
2011,1115,274,409,5026,2462,7983,1057,246,9286
2010,1034,236,373,4650,2715,7622,1216,170,9008
